comment,x,y,cluster,z
It’s just interesting seeing how people who champion AI don’t often talk about the future problems it might create. They only talk about the current problems it’ll solve. I’m all for solving problems and I appreciate some of the assistance from AI. But I also know that solving one problem always leads to another problem.,1.704058786812428,-0.39762124045657077,1,0.5744933456801683
"“Your scientists were so preoccupied with whether they could, they didn’t stop to think if they should.” - Dr. Ian Malcolm",-1.669114857558932,0.6805142237405856,0,0.04502809516664587
"It's great that algorithms can help people in different spheres of life, but robots are not free-thinking creatures, so they are not only useful for us, but also dangerous, because algorithms do not always lead to the right decisions and they can also limit our personal freedom of action.",1.0073587032178206,1.0558651936131715,0,0.07459193675204526
"Everything needs energy to drive its movement...

Whether it is natural intelligence or artificial intelligence, whoever can invent and master energy is in charge.",-0.9238934296510187,1.0022861235082439,0,-0.4303458701731553
"As I watched I kept returning to the scene of the jaywalker and how he was reduced in social value without human action. It was chilling on multiple levels. Not the least of which you arrived at in the example of autonomous vehicles but which could apply to medical care priority or even how long you wait in a line if all other things score equally. And. if anyone thinks those cameras are there for your security in an increasing number of Chinese restaurants think again in terms of social merit. It is inevitable that AI will allow someone to die in a car crash because you chewed with your mouth open. The reality is that AI will force conformity if allowed to through fear. (PS, You have lettuce stuck in your teeth and you left the tap on in the bathtub and you are receiving 11 demerits which means that you will be likely to be chosen to die in any of the following 42 scenarios) China is birthing a god apparently who will immediately extract retribution and give reward while eliminating societal divergence. We are well along the way to the altar",15.870777591596523,-2.8472745399806527,2,3.0981976372001547
"As always, very enlightening. The design researchers comments on 996 culture are eyebrow-raising. People don't do this because they want to. They don't have a choice. One wonders if she's in touch with how the population truly feels at this point.",0.20473362105604878,-0.5458543100642845,0,-0.28094870951875434
"“Once men turned their thinking over to machines in the hope that this would set them free. But that only permitted other men with machines to enslave them.”

― Frank Herbert, Dune",-0.2837885372930757,0.3102627900512235,0,-1.4662305367892972
"26:45 ""the microphone isn't listening until it hears hey Google""

For a scientist, the fact that he's able to say that with a straight face is hilarious",-0.14727570268273363,-0.5497413089039547,0,-0.6515551943637833
"The part with accident avoidance reminds me of the awesome moral dilemma from the movie ""I Robot"". The robot is calming saying ""You in danger"" and rescues the man with a decent probability of survival instead of the child with no chance of survival, despite the man screaming ""Leave me! Save her!""",3.477444580726199,-5.177812183650601,1,1.117463139714446
"This was great, keep up the great programs you make!",-1.8260943943915156,-0.6526842807403892,0,0.02955052923938518
Each breakthrough technology has its advantages and disadvantages. And artificial intelligence is no exception. The important thing is that we can identify the problems facing us and recognize our responsibility to be sure that we can fully take advantage of the benefits and minimize the negative consequences.,2.844421158361602,-0.7690147652778478,1,0.20398208403301452
"I'm all for this sort of tech, but always wonder what would happen to the employees of the companies that employ this tech in the future? Would we be just left to our own devises or what sort of jobs would be left for humans to do if robots can do it better in pretty much every way.",3.684277452359794,0.8180402182507045,1,-0.3738673508308425
One of the most thought-provoking documentaries on AI. More questions raised than answered.,-1.520154093922781,-0.5939307968838773,0,0.24649703968105188
"Having studied AI at MIT, interestingly, the first computer programme able to go through all permutations per move in a game of chess was already called AI. We should understand that in the present state of AI, what comes out still depends on what has been put in. It's just that the speed of programming has accelerated, and that input is now driven by what's gathered via net-connectivity. Actions from AI remain the result of linear processing. The current state of tech allows for parallel processes occurring, but they remain linear. ",5.248997134661925,-1.7864917480525757,1,1.464242793306036
